ISO Week Start Date,Country,Account,Product,Value in USD
2013-12-30,United States,Revenue,Product A,88158.0
2013-12-30,United States,Labor,Product A,17270.0
2013-12-30,United States,Raw Materials,Product A,19318.518953230487
2013-12-30,United States,Admin,Product A,8772.0
2013-12-30,United States,Utilities,Product A,6092.0
2013-12-30,United States,Revenue,Product B,48489.093013359365
2013-12-30,United States,Labor,Product B,15734.0
2013-12-30,United States,Raw Materials,Product B,15393.093013359361
2013-12-30,United States,Admin,Product B,8444.0
2013-12-30,United States,Utilities,Product B,6171.0
2013-12-30,United States,Revenue,Overhead,49201.45964179508
2013-12-30,United States,Labor,Overhead,18322.0
2013-12-30,United States,Raw Materials,Overhead,14808.459641795078
2013-12-30,United States,Admin,Overhead,7433.0
2013-12-30,United States,Utilities,Overhead,4215.0
2013-12-30,Canada,Revenue,Product A,69769.0
2013-12-30,Canada,Labor,Product A,15051.0
2013-12-30,Canada,Raw Materials,Product A,13144.968511121613
2013-12-30,Canada,Admin,Product A,9843.0
2013-12-30,Canada,Utilities,Product A,5904.0
2013-12-30,Canada,Revenue,Product B,54289.138453155174
2013-12-30,Canada,Labor,Product B,18666.0
2013-12-30,Canada,Raw Materials,Product B,19501.138453155174
2013-12-30,Canada,Admin,Product B,7747.0
2013-12-30,Canada,Utilities,Product B,3975.0
2013-12-30,Canada,Revenue,Overhead,57794.595017748914
2013-12-30,Canada,Labor,Overhead,19998.0
2013-12-30,Canada,Raw Materials,Overhead,19646.595017748914
2013-12-30,Canada,Admin,Overhead,9658.0
2013-12-30,Canada,Utilities,Overhead,4899.0
2013-12-30,Mexico,Revenue,Product A,61394.0
2013-12-30,Mexico,Labor,Product A,17734.0
2013-12-30,Mexico,Raw Materials,Product A,21161.84661155903
2013-12-30,Mexico,Admin,Product A,5646.0
2013-12-30,Mexico,Utilities,Product A,5068.0
2013-12-30,Mexico,Revenue,Product B,48172.87802997622
2013-12-30,Mexico,Labor,Product B,15393.0
2013-12-30,Mexico,Raw Materials,Product B,18156.878029976222
2013-12-30,Mexico,Admin,Product B,5241.0
2013-12-30,Mexico,Utilities,Product B,5041.0
2013-12-30,Mexico,Revenue,Overhead,44733.61269303752
